Questions,Answers,Category
Q3. How is CIBIL Score different from credit score?,"CIBIL score is a 3 digit credit score which is calculated and furnished by The Credit Information Bureau (India) Ltd, which is largely accepted bureau and hence many leading lenders shows their interest for Good CIBIL score. However, credit score is a three digits number which is calculated by credit bureaus on the basis of one’s past credit history.",Score & Report
Q4. What is the difference between credit report and credit rating?,"Credit report is applicable to individuals and is provided by one of the four Indian credit bureaus – CIBIL TransUnion, Experian, Equifax or CRIF High Mark. Credit rating, on the contrary, applies to companies and is provided by rating agencies such as CRISIL, ICRA, etc.",Score & Report
Q5. How can my credit score help me with loan application?,"A high credit score is definitely an asset when it comes to loan and credit card applications. A high credit score (closer to 900) implies that you have good financial discipline and tend to pay off your dues on time. Thus, your chances of being approved for additional credit, in the form of a new loan or credit card, are higher. This is so because lenders perceive borrowers with high score as trustworthy. They notice the financial discipline of applicants and accordingly decide whether to extend new credit or not.",Score & Report
Q6. How is my credit score calculated?,"Credit score calculations use information from four key areas of your credit report: payment history of previous credit, number of active account and your credit to debt ratio. These are the major factors that affect your credit score and are included in your credit report.",Score & Report
Q7. How often can my credit score change?,"Your credit score changes according to changes in your credit report. Therefore, your score is liable to change as new credit information is added or removed. Such changes include addition or closure of a credit card or loan account. That said, banks and other financial institutions report your information to credit bureaus once every month.",Score & Report
Q8. How often can I get an updated credit score?,"You can apply for a credit report any number of times, however, as lenders report your credit information only once a month, you might not observe any change in your credit score before an interval of 1 month has passed between reports. If you apply for an Experian credit report through Paisabazaar, we will update your report every 3 months at no charge whatsoever.",Score & Report
Q9. Would having multiple credit cards affect my credit score?,"Having multiple credit cards does not pose a problem by itself. However, having large amounts of unpaid credit card debt can cause your credit score to decline as you would be considered a risky borrower by banks. High credit card debt is considered to be a key factor that promotes future credit defaults. For more information, read Factors to consider before opting for multiple credit cards.",Score & Report
Q10. Would my score be affected if I check my credit score?,"When you check your own credit score or access your own credit report, it is counted as a “soft enquiry.” As a result, your credit score remains unaffected no matter how many times you check your credit score. However, if banks and NBFCs access your report, it is seen as a hard enquiry and can impact your score.",Score & Report
Q12. Do late payments affect my credit score?,"Paying bills on time is generally the single most important contributor to a good credit score. Being late on any bill, for any length of time is considered a possible indication of future non-payment of debt and is viewed negatively by lenders. Avoiding late payments is the best way to ensure a good credit score.",Score & Report
Q13. What happens to my credit score if I pay off a loan or credit card account?,"If you pay off a loan completely or close out a credit card account, there is usually no immediate impact on your credit score and the account is marked as “closed” on your report. However, in case of a credit card account, make sure that you keep track of your credit utilisation ratio subsequent to closure of the account, as a high utilisation ratio makes lenders perceive you as credit hungry borrower leading to a decline of your credit score.",Score & Report
"Q14. If I am a guarantor to a loan, does that show up on my credit report?","Yes. Your role as a guarantor shows up on your credit report and if the primary applicant is unable to pay off the loan, you will have to make the balance payments. Your credit score will be adversely impacted in case you too are unable to repay the loan.",Score & Report
Q15. Who offers Credit Score in India?,"At present, there are 4 credit bureaus operating in India – CIBIL TransUnion, Experian, Equifax and CRIF High Mark. All of these credit bureaus have their own unique scoring models and offer credit scores to Indian residents who subscribe to credit in the form of credit cards or loans. Your prospective lender may decide to obtain your details from one or more of these credit bureaus when you submit a new loan or credit card application.",Score & Report
Q16. Will my credit score be the same with all the credit bureaus?,"No. Each credit bureau has its own unique scoring model therefore you score will be different in each case. However, rule of thumb is – the closer your credit score is to 900, the higher your score and the better your chances of being approved for additional credit (new credit cards/loans).",Score & Report
Q17. How much does my credit score/report cost?,"The cost of getting a copy of your credit report varies from one credit bureau to another. It will cost you around Rs. 500 to get a copy of your report if you approach the credit bureau directly. However, if you apply for your credit report through Paisabazaar.com, we will provide you a free Experian credit report, along with our easy-to-understand report analysis.",Score & Report
Q18. Why should I get my credit score from Paisabazaar.com?,"For starters, we are one of the few companies in India that provide credit score and report for free. But that’s not all. We will also give you online access to your Experian Credit Report, along with its complete analysis. Additionally, we will provide you with free updated credit report every three months containing any new information that is reported by your lender(s).",Score & Report
Q19. Why am I not getting a credit score/credit report?,"Credit scoring models cannot generate a score without enough past credit information. If you have a very recent credit history or haven’t taken a loan or credit card in the past, you probably will not have a credit score available.",Score & Report
Q20. What do the terms Closed and Active on my Credit Report mean?,"Just like a medical report, your credit report will also include some key terms and abbreviations that explain the status of specific accounts. Some of these are:

Closed -This appears when a credit card or loan account has been paid in full and closed out. The date closed field will also contain details in this field.
Active – This appears when a credit card or loan account is currently operational.",Score & Report
Q21. How many sections does a credit report have?,Your credit report has five key sections–,Score & Report
Q22. How do I maintain/improve my credit score?,"The key factor that affects your credit score is your payment history (credit card dues/loan EMIs), followed by the type of credit and the amount of money you owe to various lenders along with your available credit utilisation ratio. So you can maintain a high credit score as long as you have made your EMI/Credit Card dues payment on time and haven’t gone overboard with respect to your unsecured loans such as personal loans/credit card debt. In case your credit score has suffered due to past mistakes, start by paying off your current dues and ensure you stick to your payment schedules going forward so that you can start on the road to recovery. For more details, read Ways to Improve your credit score.",Score & Report
Q23. What kind of errors should I look out for in my credit report?,Credit report errors are classified into 3 categories –,Score & Report
Q24. Can my report show a loan or a credit card under my name even though I never sought one?,"Yes. Though extremely rare, a loan or credit card you never applied for might appear on your credit report. There are two possible reasons to this – firstly, the bank/NBFC might have made a mistake when reporting this data and ended up switching your records with someone else – this is the less drastic possibility. The second and more drastic possibility is that you are a victim of identity theft. In this case, your personal details, such as PAN Card and Aadhar Card, are stolen to obtain loans or credit cards. In either case, your credit score may be impacted. So get in touch with the credit bureau as well as your bankers and other authorities in order to get the erroneous records rectified.","Fraud,Loss,Theft & Disputes"
Q25. How do I get my credit report corrected in case of an error?,"To get your credit report corrected, reach out to us. We have partnered with Credit Seva to help our customers get actionable insights with respect to improving credit score and correcting credit report.",Score & Report
What is the typical interest rate on a credit card?,"Interest rates on credit cards usually range from 2.5% to 3.5% per month. However, this may vary from issuer to issuer and also from one card to another. It is advisable to always opt for low-interest rate credit cards.",Interest & APR
Will interest be charged even if I pay the minimum amount due?,Yes. Interest will be charged on the remaining balance even after you pay the minimum amount due.,Interest & APR
How does the interest rate on a credit card work?,"Interest is compounded on the outstanding balance on a daily basis. This means that at the end of each day, the interest rate is calculated for the day based on the amount that stands unpaid on your account at the end of the day. The charge, though minimal, is added to your next day’s balance when the interest will be calculated for the next day.",Interest & APR
When should I pay my credit card bill to avoid interest?,You must always pay your credit card bill in full on or before the due date in order to avoid paying any interest on the balance.,Interest & APR
When is interest charged on credit card?,"Interest is applicable on your credit card when you roll over an outstanding amount to the next billing cycle. In this case, new purchases will also attract interest from the first day onwards.",Interest & APR
What is the typical interest rate on a credit card?,"Interest rates on credit cards usually range from 2.5% to 3.5% per month. However, this may vary from issuer to issuer and also from one card to another. It is advisable to always opt for low-interest rate credit cards.",Interest & APR
Will interest be charged even if I pay the minimum amount due?,Yes. Interest will be charged on the remaining balance even after you pay the minimum amount due.,Interest & APR
How does the interest rate on a credit card work?,"Interest is compounded on the outstanding balance on a daily basis. This means that at the end of each day, the interest rate is calculated for the day based on the amount that stands unpaid on your account at the end of the day. The charge, though minimal, is added to your next day’s balance when the interest will be calculated for the next day.",Interest & APR
When should I pay my credit card bill to avoid interest?,You must always pay your credit card bill in full on or before the due date in order to avoid paying any interest on the balance.,Interest & APR
When is interest charged on credit card?,"Interest is applicable on your credit card when you roll over an outstanding amount to the next billing cycle. In this case, new purchases will also attract interest from the first day onwards.",Interest & APR
What is the typical interest rate on a credit card?,"Interest rates on credit cards usually range from 2.5% to 3.5% per month. However, this may vary from issuer to issuer and also from one card to another. It is advisable to always opt for low-interest rate credit cards.",Interest & APR
Will interest be charged even if I pay the minimum amount due?,Yes. Interest will be charged on the remaining balance even after you pay the minimum amount due.,Interest & APR
How does the interest rate on a credit card work?,"Interest is compounded on the outstanding balance on a daily basis. This means that at the end of each day, the interest rate is calculated for the day based on the amount that stands unpaid on your account at the end of the day. The charge, though minimal, is added to your next day’s balance when the interest will be calculated for the next day.",Interest & APR
When should I pay my credit card bill to avoid interest?,You must always pay your credit card bill in full on or before the due date in order to avoid paying any interest on the balance.,Interest & APR
When is interest charged on credit card?,"Interest is applicable on your credit card when you roll over an outstanding amount to the next billing cycle. In this case, new purchases will also attract interest from the first day onwards.",Interest & APR
What is the typical interest rate on a credit card?,"Interest rates on credit cards usually range from 2.5% to 3.5% per month. However, this may vary from issuer to issuer and also from one card to another. It is advisable to always opt for low-interest rate credit cards.",Interest & APR
Will interest be charged even if I pay the minimum amount due?,Yes. Interest will be charged on the remaining balance even after you pay the minimum amount due.,Interest & APR
How does the interest rate on a credit card work?,"Interest is compounded on the outstanding balance on a daily basis. This means that at the end of each day, the interest rate is calculated for the day based on the amount that stands unpaid on your account at the end of the day. The charge, though minimal, is added to your next day’s balance when the interest will be calculated for the next day.",Interest & APR
When should I pay my credit card bill to avoid interest?,You must always pay your credit card bill in full on or before the due date in order to avoid paying any interest on the balance.,Interest & APR
When is interest charged on credit card?,"Interest is applicable on your credit card when you roll over an outstanding amount to the next billing cycle. In this case, new purchases will also attract interest from the first day onwards.",Interest & APR
What is the typical interest rate on a credit card?,"Interest rates on credit cards usually range from 2.5% to 3.5% per month. However, this may vary from issuer to issuer and also from one card to another. It is advisable to always opt for low-interest rate credit cards.",Interest & APR
Will interest be charged even if I pay the minimum amount due?,Yes. Interest will be charged on the remaining balance even after you pay the minimum amount due.,Interest & APR
How does the interest rate on a credit card work?,"Interest is compounded on the outstanding balance on a daily basis. This means that at the end of each day, the interest rate is calculated for the day based on the amount that stands unpaid on your account at the end of the day. The charge, though minimal, is added to your next day’s balance when the interest will be calculated for the next day.",Interest & APR
When should I pay my credit card bill to avoid interest?,You must always pay your credit card bill in full on or before the due date in order to avoid paying any interest on the balance.,Interest & APR
When is interest charged on credit card?,"Interest is applicable on your credit card when you roll over an outstanding amount to the next billing cycle. In this case, new purchases will also attract interest from the first day onwards.",Interest & APR
How do Credit Cards Work?,"Credit cards are a loan, that’s how credit cards work. Let’s get that out of the way and cleared up.

So many people treat credit cards as easy cash but treating them as a loan you need to pay back solves a lot of problems down the road. This loan is revolving debt, meaning it doesn’t have a fixed payoff date or payment, but it is money that needs to be paid back.

When you use a credit card, the lender makes you a loan usually on 0% terms for up to 28 days. If you pay the loan in that time, you pay no interest. If you don’t pay the loan off completely then the interest rate kicks in and is charged on a daily basis.",Gen Info
What are Benefits of Having a Credit Card?,Credit cards are a legit source for emergency cash. More than two-in-three households report they couldn’t cover a $500 emergency expense from savings. Emergency healthcare costs and car repairs happen whether you have the money or not and credit cards can save you from late fees and defaults that will ruin your credit.,Gen Info
How Many Credit Cards Should I Have?,"It can be extremely easy to build up a wallet full of credit cards. There’s a lot of money in credit and it’s no longer just the big banks that issue cards. From store cards to alumni groups and those targeting bad credit borrowers, it seems everyone has a card to offer you (and a special deal).",Gen Info
Will My Credit Card Make Me Overspend?,YES,Gen Info
How Do I Apply for a Credit Card?,"Applying for a credit card is too easy. You can do it online, by phone…or by mail if you’ve invented a time machine and are trapped in the 80s.",Gen Info
How Long Does it Take to Get a Credit Card?,"It takes less than five minutes to apply for a credit card and approval is usually immediate. If you’re denied a card, you’ll get a letter within a few weeks telling you why.",Gen Info
How Do I Get a Credit Card on Bad Credit?,"Bad credit usually won’t keep you from getting a credit card though the rate may be higher than you can afford. If you are denied a card, there are a few alternatives you can try.",Score & Report
What is an Annual Fee and Where do I Find Mine?,"Annual fees on credit cards are an additional charge, usually from $50 to $150, beyond the interest rate you pay. My first reaction is to say you should never apply for a card that charges an annual fee.",Charges & Fees
What Does it Mean to be Pre-Approved for a Credit Card?,"Credit card issuers buy access from the credit bureaus to offer these pre-approvals. The card companies will do a soft-pull of your credit, a way to check your report without affecting your score, to extend an offer.",Queries
What Happens if I Miss a Payment?,Missing a credit card payment isn’t the end of the world but you do need to be on top of it. The late payment won’t affect your credit score until it’s 30 days late and you might be able to get an extension if you call the card company.,"Bills,Statement & Limit"
What’s the Difference between APR and Interest Rate?,The annual percentage rate (APR) is the actual rate you pay on your charges. The APR includes all the extra fees added to the card as well as the way the interest rate is calculated.,Interest & APR
Do I Pay Interest on Every Purchase I Make on My Credit Card?,You will never owe interest on a credit card if you pay your statement balance in full by the due date. This is usually ten to 14 days after the statement closes each month.,Interest & APR
Why Does My APR Go Up if I Make Payments on Time?,"While making payments on time and building a solid credit history will cause your credit score to go up over time, there are other factors that could push your FICO lower in the short-term.",Interest & APR
How Do I Lower My Interest Rate on a Credit Card?,The biggest factor in your credit card rates is your FICO so that’s where you should look first to decrease your score. There are a few things you can do after building a higher score.,Interest & APR
How is a Credit Card Different from a Debit Card?,Debit cards are linked to your checking account and you can only spend as much as you have cash available. That means it’s not a loan like a credit card so there’s no interest rate. There are also no payments so no late fees to worry about either.,Gen Info
What is a Secured Card and How is it Different from a Credit Card?,"Secured cards are a lot like debit cards but they can help you build your credit score. Like a debit card, your secured card is backed by money you put into an account, but your card still works like credit. You borrow the money charged and then make a payment at the end of the month.",Queries
What is a Balance Transfer?,"A balance transfer is exactly what it says, transferring the balance from one debt to another credit card. Transferring to a new card usually brings the benefit of a 0% introductory rate for six months to a year and no transfer fees.","Bills,Statement & Limit"
How Does My Credit Score Affect My Interest Rates?,"Your credit score is the primary way credit issuers assign rates. Credit card companies need to assess how likely people with ranges of scores are to repay. That means, within each credit score range, the people that pay off their cards have to pay higher rates to make up for those that default.",Score & Report
What are the Types of Credit Card Rewards?,"There are primarily two types of credit card rewards programs, cash back and points.",Rewards & Cashback
What is a Credit Card Introductory Rate?,The introductory rate is also called a teaser rate because it’s so low as to entice you into applying for the card. The teaser rate is usually from 0% to 6% depending on your credit and usually lasts from six months to a year.,Interest & APR
When Should I Pay My Credit Card Bill?,"Your bill is usually due 21 to 28 days after your monthly statement closes. Depending on the way you make payments, you might want to pay it at least a few days in advance to make sure the money is credited to your account.","Bills,Statement & Limit"
How Do I Change My Credit Card Payment Due Date?,"Most card issuers will allow you to change the date on which your credit card payment is due. You might change all your cards to come due on the same day so you don’t forget any. Conversely, you might change your due dates so they aren’t all on the same part of the month and coming from the same check.","Bills,Statement & Limit"
How do I Pay Off My Credit Card?,You always need to make the minimum payment on your credit cards but there are a few strategies to pay off your debt faster.,"Bills,Statement & Limit"
How Much Do I Have to Pay on My Credit Card Each Month?,You absolutely must pay your minimum payment on the card. This is the amount you have to pay to avoid late fees. You should pay your statement balance if at all possible. Paying your statement balance will avoid any interest rate charges on the card.,"Bills,Statement & Limit"
How Do I Get a Credit Limit Increase?,Just ask! Credit issuers will usually increase your credit limit upon request and at least once or twice a year. They may be slightly less willing if you have a history of maxing out your card and missing payments but otherwise all you need to do is call customer service and ask.,"Bills,Statement & Limit"
"If I Buy Something with My Credit Card but it Doesn’t Work, Can I Get a Refund?",Many cards now offer buyer protection against damages to purchases they make on a card. Check your card application or call customer service to get the details for your card.,"Fraud,Loss,Theft & Disputes"
What if there are Charges on my Credit Card I Didn’t Make?,Always check your monthly statement for charges. You have two months to report any fraudulent charges on your card for the right to a refund.,Charges & Fees
What if My Credit Card is Stolen?,"Always keep your card information and customer service number safe with other personal data at home. If your card is stolen, report it immediately and you won’t be responsible for any charges. Card issuers can usually have a new card mailed to you within two weeks.","Fraud,Loss,Theft & Disputes"
Can I Use My Credit Card Outside the Country?,Most credit cards can be used internationally but be sure to call customer service ahead of time to put an out-of-country alert on your card. This will tell the card issuer that you’ll be using it internationally and will avoid problems.,Queries
Can I Use My Credit Card to Get Cash at an ATM?,Most credit cards can be used to get cash from an ATM but understand it will be more expensive than a regular credit charge.,Queries
What is an APR?,"The Annual Percentage Rate (APR) is the true cost of all interest and fees on your credit card. Since there may be additional fees on the card and your interest is calculated on a daily basis, the actual rate you pay is higher than the stated interest rate at the top of your statement.",Interest & APR
What Kinds of Purchases Should I Make on My Credit Card?,"There are two things to remember when charging something to your card. First, it’s a good idea to only charge as much as you can pay off at the end of the month. This will avoid paying any interest fees and you may even get a discount through cash rewards.

Second, be careful of charges that are considered cash advances where you’ll owe an immediate fee on top of the normal rate. This will include any cash withdrawn from ATMs but also may include paying your mortgage with the card.

I use one card for all my business expenses to easily track how much I’m spending. We have another card just for emergencies and for everyday spending like groceries, gas and other needs.",Queries
Are Credit Card Rewards Programs Worth It?,"Managed correctly, card reward programs like cash back or points can totally be worth it. If you pay off your balance EVERY SINGLE MONTH then you never pay interest charges and the points you earn are a discount on your purchases.",Rewards & Cashback
How to Cancel a Credit Card,Cancelling a credit card is as easy as calling customer service. Don’t think that the card issuer will cancel the card just because you’re not using it. You have to call up and cancel.,Gen Info
"
    Where can I find my full Account and Routing Number?
","Routing numbers are nine digit numbers that can also be referred to as banking routing numbers, routing transit numbers, RTNs, and ABA numbers. This code identifies your financial institution and it can differ depending on where you opened your account and the type of transaction you make.",Gen Info
"
    What should I do if I can't access my account, or forgot my Password or User ID?
","If you forget your Password, you can reset it online with your debit card information or a phone number that you have enrolled through Online Banking.",Gen Info
"
    How do I change the address, phone number, or email address on my account?
","n Online Banking, Click on the Customer Service tab and then select the ""Customer Profile"" option at the top. You'll see your personal information.
To update your mailing address:
Click ""edit"" next to the Customer Address section.
Place a check next to the account(s) that you would like to change.
Type in your new address and click the ""next"" button.
Confirm that the new address is correct and click the ""submit modifications"" button.
To update your phone number:
Click “edit” next to the Telephone Numbers section.
Delete the digits in either the Primary and Secondary fields.
Click the “Next” button.
To update your email address:
Click “edit” next to the Email Addresses section.
Type in your new email address.
Confirm your new email address by reentering it.
Click the “Submit Modifications” button.",Gen Info
"
    When will my deposit be available?
","Your deposit is typically available on the first business day after your deposit is received. Your funds may be delayed, however, depending on the type of deposit and the amount of that deposit.","Bills,Statement & Limit"
"
    How do I order checks?
","Sign in to Online Banking
Click on the Customer Service Tab
In the Manage Accounts section, click on Order Checks & Supplies.
Click on the “Checks/Supplies” link under the Order column next to the account for which you want to order checks. ",Bank & Customer Care
"
    Why did I receive an Overdraft Item or Returned Item (NSF) Fee?
",You were charged a fee because your account was overdrawn at the end of the previous business day.,Charges & Fees
"
    How do I place a stop payment on a check or pre-authorized payment?
","A ""Stop Payment"" allows you to stop payment on a check, range of checks or pre-authorized payment (excluding cashier's checks, money orders or other cash equivalent items).","Bills,Statement & Limit"
"
    What do I need to access the Automated Telephone Banking Service?
","Our toll-free Customer Service number will get you fast, easy and secure account information from our automated banking system - there's no waiting and it's available anytime, whenever you need it. Use it to check balances, hear account activity, transfer funds and much more.",Bank & Customer Care
"
    How do I set up alerts for my account?
","From your Alerts tab, access the Add/Edit Alerts Page.
The Add/Edit Alerts Page provides a list of all the alerts eligible for each account.
From there, you can select the Alerts that you want and how you want to receive them. ",Bank & Customer Care
"
    There is a transaction on my account that I did not authorize or is incorrect. How can I dispute it? 
",You can dispute most debit or credit card transactions via your Online Banking by going to the Customer Service Tab. There are two separate processes for debit card and credit card transactions after you go to the Customer Service Tab.,"Fraud,Loss,Theft & Disputes"
"
    What are the browser requirements for Online Banking?
","For an optimal experience using our online tools, we recommend using a current version* of an internet browser we support, such as: Internet Explorer 11 or higher, Microsoft Edge (Windows 10), Safari, Firefox or Chrome. Using beta versions or older versions of these browsers may result in limited functionality within the web application, and some services, such as online Bill Pay, are not available if you’re using an unsupported browser.",online
"
    What can I do in Online Banking?
","You can view and manage account information, pay bills, transfer funds including payments to PNC accounts, view PNC Rewards, and much more.",online
"
    What should I do if I feel my Online Banking information is compromised or if I notice any unauthorized activity on my account?
","In order to take the necessary steps to protect your information, please contact us immediately. Contact us at 1-800-762-2035.",online
"
    What PIN number do I need to use to enroll for Online Banking? 
","In most cases the PIN you use with your debit card will be the PIN you will use to enroll for Online Banking. If you do not have a debit card, please contact us to have a PIN mailer sent to you so you can enroll for Online Banking.",online
"
    What should I do if I forgot my Password or User ID?
","If you forget your Password, you can reset it online with your debit card information or a phone number that you have enrolled through Online Banking.",Queries
"
    How do I transfer funds?*
",There are three ways you can make a transfer in Online Banking’s “Transfer Funds” tab:,"Bills,Statement & Limit"
"
    I need a copy of a check, how can I get that online?
","Check Images are digital copies of checks, substitute checks, and deposit tickets that are posted to your account and are accessible through Online Banking.",online
"
    I need a copy of a statement, how can I get that online?
","To gain access to copies of your statements online, you must register for paperless statements for that account.",online
"
    I just opened my account today, when can I enroll for Online Banking?
","If you opened your account in real time at one of our branches, your account will be open and live immediately, and you can enroll in Online Banking right away. If your account was not open in real time, it can take up to 2 business days for your account to be available for enrollment in Online Banking.",online
"
    How do I clear my cookies/cache on my browser?
","For the best experience when using PNC Online Banking, we recommend using the most up-to-date versions of Chrome, Firefox, Internet Explorer or Safari.",Bank & Customer Care
"
    What is PNC Mobile Banking?
",PNC Mobile Banking provides several easy and convenient ways to access your accounts almost anywhere. You can use this secure service to see your account balances and activity right from your mobile device.,online
"
    How do I activate my debit and/or credit card?
","For personal and business debit cards, you can activate your card by:
Calling the phone number found on the sticker on the card, or
Visiting any PNC ATM. Insert your card into the machine and use the PIN that you created when you opened your account. If you did not create a PIN, you will have to wait for a PIN to be mailed to you in order to activate your card using a PNC ATM.
Once your card is activated, you can start using it right away.

For personal and business credit cards, you can activate your card by:
Calling the phone number found on the sticker on the card, or
Logging into Online Banking:
Navigate to the Account Activity Page for your credit card account, and
Click on the Activate Card link
Once your card is activated, you can start using it right away.",Gen Info
"
    My card was lost/stolen, how can I get a new one?
","If your card has been lost or stolen, contact us immediately at one of the following phone numbers.","Fraud,Loss,Theft & Disputes"
"
    What should I do if I’ve forgotten my Personal Identification Number (PIN)?
",Call us using the phone number found on the back of your card. The PIN will be mailed to you via USPS.,PIN
"
    I see a transaction on my account that I don’t recognize. How can I dispute it?
",You can dispute a debit or credit card transaction electronically via your Online Banking account by going to the Customer Service tab.,"Fraud,Loss,Theft & Disputes"
"
    I only have a business credit card. Where do I sign on to view my business credit card information?
",To view your business credit card(s) online you can either view your account through PNC Online Banking or through Account View.,online
"
    Why do I have two account numbers for my business credit card account?
","When a business credit card is opened, a control account number is established for the business.",Bank & Customer Care
"
    Can I use my card(s) internationally?
","You can use your card(s) when traveling internationally. However, before you do, we recommend you notify us before you leave to have a travel notice placed on your account(s).",Queries
"
    How do I enroll in and earn PNC points?
","To earn PNC points, you must have a participating PNC points Visa credit card or PNC Flex Visa credit card. Enrollment for points is automatic unless your card was opened before February 14, 2011. If your card was opened before February 14, 2011, you must enroll your card for the program. Debit cards do not earn points.",Rewards & Cashback
"
    What are ATM Preferences and how can I change or customize them?
",Preferences allow customers who utilize PNC ATMs to customize their preferences for certain items within a transaction such as:,Queries
"
    My card expired, or is about to. Where is my new card?
","Credit cards expire at the end of the month indicated on your credit card. If you have not received your new credit card 3 weeks before your current credit card expires, please contact us using the phone number on the back of your current credit card. You may not receive a new credit card if your account is not in good standing or is inactive.",Gen Info
How does ANZ increase my credit card limit?,"If you’re the primary cardholder on an ANZ credit card, you can increase your credit limit by logging into your credit card account and choosing the “Increase your credit limit” option. You can also submit an ANZ credit card limit increase application form by visiting any ANZ branch or by mail or fax. When completing the form, it's important to remember to specify how much you want the limit increased. You can estimate this by first calculating the amount of credit card debt you can afford to repay based on your income and expenses, and then declaring that in your application. ","Bills,Statement & Limit"
How does the ANZ credit card instalment plan work?,"While you usually need to settle all or part of your credit card dues at the end of your statement period, some credit cards afford you the option of setting up instalment plans. This allows you to settle your credit card debt at a pace that's more convenient for you, paying a fixed amount over a fixed period, thus making it easier to budget your repayments every month.",Bank & Customer Care
How to increase your Bendigo Bank credit card limit?,"As a Bendigo Bank credit cardholder, you can avail a minimum limit of $500, but if you use your card regularly, you may want to consider increasing it. To increase your Bendigo Bank credit card limit, you can contact the bank’s credit card team on 1300 236 344 and talk to the bank directly.","Bills,Statement & Limit"
How to increase your Heritage credit card limit?,"Heritage credit card holders can increase their card limits, and typically without any hassles. There are two limits applied to your credit card: your account transfer limit and your credit card limit, each of which has a separate limit.","Bills,Statement & Limit"
What coverage does Coles credit card insurance offer?,"Most customers who own a Coles credit card may be eligible for complimentary purchase protection insurance, but low rate card owners won’t receive this benefit. ",Bank & Customer Care
How to apply for an HSBC credit card instalment plan?,"HSBC provides a host of different features and benefits to its customers, including interest-free finance options for purchases made at select retailers.",Bank & Customer Care
What should I do if my ANZ credit card has expired?,"Your ANZ credit card is considered expired only after the last day of the month and year marked on your card. For instance, if your card’s expiry date reads 03/22, it is valid until 31 March 2022 and expires on 1 April 2022. Typically, you should have received a new credit card by that date, and you won’t have to request a new card. ",Gen Info
Does Bendigo Bank offer credit card insurance?,"No matter which type of Bendigo Bank credit card you own, you may qualify for complimentary purchase protection insurance, extended warranties, and best price guarantee. ",Bank & Customer Care
What does BOQ credit card insurance cover?,"All BOQ credit cards come with purchase cover insurance and guaranteed pricing, which can be claimed by eligible customers without activation. Some premium cards may additionally cover international travel, transit accidents, and interstate flight inconveniences, as well as offering extended warranties in select circumstances. ",Bank & Customer Care
Does St. George Bank offer any credit card insurance?,Depending on the type of card they hold St. George Bank credit cardholders can benefit from a host of various credit card insurance offerings including:,Bank & Customer Care
Increase your credit card limit with Westpac,"You can apply to increase your Westpac credit card credit limit at any time, and most credit card providers have made it really easy to do so. You can use your online banking portal, the credit card provider’s mobile app, or even the telephone. ","Bills,Statement & Limit"
How to increase the NAB credit card limit?,"If you use your NAB credit card regularly, you could consider requesting a higher credit limit. The good news is that it's fairly easy to do so using either the NAB app or NAB internet banking. ","Bills,Statement & Limit"
How can I increase my Bankwest credit card limit?,"When you apply for a Bankwest credit card, you get assigned a pre-set credit limit, which will end up being the most that you can spend on your credit card before having to pay it off. Your credit limit is chosen for you and your current financial situation, and you should remember not to overspend, irrespective of the limit, in order to avoid racking up a massive bill.","Bills,Statement & Limit"
What does ANZ credit card insurance cover?,"ANZ offers complimentary insurance on some of its credit cards, which can provide some protection against unforeseeable incidents, like the theft of your card. Depending on the type of credit card you own, you may be eligible for different insurances. For instance, most ANZ credit card customers may qualify for Purchase Protection Insurance and Extended Warranty Insurance. Customers who own premium credit cards may also be eligible for Guaranteed Pricing, Rental Vehicle Excess, International Travel, and so on.",Bank & Customer Care
How do I apply for a BOQ credit card limit increase?,"If you’re an existing BOQ customer, you can request a BOQ credit card limit increase over a phone call. However, you should remember that owning and using a credit card is a matter of financial responsibility, so it might be worth thinking this decision through. ","Bills,Statement & Limit"
What is the CUA credit card increase limit process?,"A credit limit is pre-assigned based on factors like your income, expenses, and debt by the card-issuing company. It varies from time to time based on credit utilisation and changes to your circumstances.","Bills,Statement & Limit"
How to increase your Qantas Premier credit card limit,"When your income or spending habits change, you might wish to increase your credit card limit. The Qantas Premier credit card allows you to do this over the phone. You can contact Qantas Premier Card Support by calling on 1300 992 700. Unlike some other credit providers, Qantas doesn’t give you the option to increase your limit online.","Bills,Statement & Limit"
How to increase a Citi credit card limit?,"Before requesting an increase in the limit of your Citibank credit card, you’ll need to find out if you’re eligible for the increased limit. You can check your eligibility for a Citibank credit card limit increase by calling 13 24 84 or checking the “My Offers” section of your online Citibank account. If you are eligible and request a credit card limit increase, the company will review your income and expenses, including the repayments you make to clear other debts. Your request may be approved if Citibank can confirm that you can repay the full credit card balance, as stipulated by Australian laws, within three years.","Bills,Statement & Limit"
Does ING increase credit card limits?,"You may want to increase your credit card limit for many reasons, such as having access to more spending money. However, if you are using the Orange One credit card issued by ING, you may not be able to do so. ","Bills,Statement & Limit"
Can I transfer money from my American Express credit card to my bank account?,"If you’re an American Express credit card customer, you may not be able to transfer money from your credit card to your bank account. However, you may be eligible for cash advances, which involves withdrawing money through an ATM. ",Bank & Customer Care
Does Woolworths Qantas offer any credit card insurance?,"Credit cards can be useful for managing your expenses, but they also come with other advantages like credit card insurance. Your Woolworths Qantas Platinum Credit Card may offer a host of complimentary insurance options, which include: ",Bank & Customer Care
How to pay a credit card,There are a few ways to pay a credit card bill. These include:,"Bills,Statement & Limit"
